2017-12-12 06:54:09 status half-installed libexpat1:amd64 2.1.0-6+deb8u4
2017-12-12 06:54:09 status unpacked libexpat1:amd64 2.1.0-6+deb8u4
2017-12-12 06:54:09 status unpacked libexpat1:amd64 2.1.0-6+deb8u4
2017-12-12 06:54:09 install libpng12-0:amd64 <none> 1.2.50-2+deb8u3
2017-12-12 06:54:09 status half-installed libpng12-0:amd64 1.2.50-2+deb8u3
2017-12-12 06:54:09 status unpacked libpng12-0:amd64 1.2.50-2+deb8u3
2017-12-12 06:54:09 status unpacked libpng12-0:amd64 1.2.50-2+deb8u3
2017-12-12 06:54:09 install libfreetype6:amd64 <none> 2.5.2-3+deb8u2
2017-12-12 06:54:09 status half-installed libfreetype6:amd64 2.5.2-3+deb8u2
2017-12-12 06:54:09 status unpacked libfreetype6:amd64 2.5.2-3+deb8u2
2017-12-12 06:54:09 status unpacked libfreetype6:amd64 2.5.2-3+deb8u2
2017-12-12 06:54:10 install ucf:all <none> 3.0030
2017-12-12 06:54:10 status half-installed ucf:all 3.0030
2017-12-12 06:54:10 status unpacked ucf:all 3.0030
2017-12-12 06:54:10 status unpacked ucf:all 3.0030
2017-12-12 06:54:10 install fonts-dejavu-core:all <none> 2.34-1
2017-12-12 06:54:10 status half-installed fonts-dejavu-core:all 2.34-1
2017-12-12 06:54:10 status unpacked fonts-dejavu-core:all 2.34-1
2017-12-12 06:54:10 status unpacked fonts-dejavu-core:all 2.34-1
2017-12-12 06:54:10 install fontconfig-config:all <none> 2.11.0-6.3+deb8u1
2017-12-12 06:54:10 status half-installed fontconfig-config:all 2.11.0-6.3+deb8u1
2017-12-12 06:54:10 status unpacked fontconfig-config:all 2.11.0-6.3+deb8u1
2017-12-12 06:54:10 status unpacked fontconfig-config:all 2.11.0-6.3+deb8u1
2017-12-12 06:54:10 install libfontconfig1:amd64 <none> 2.11.0-6.3+deb8u1
2017-12-12 06:54:10 status half-installed libfontconfig1:amd64 2.11.0-6.3+deb8u1
2017-12-12 06:54:10 status unpacked libfontconfig1:amd64 2.11.0-6.3+deb8u1
2017-12-12 06:54:10 status unpacked libfontconfig1:amd64 2.11.0-6.3+deb8u1
2017-12-12 06:54:10 install libglib2.0-0:amd64 <none> 2.42.1-1+b1
2017-12-12 06:54:10 status half-installed libglib2.0-0:amd64 2.42.1-1+b1
2017-12-12 06:54:10 status unpacked libglib2.0-0:amd64 2.42.1-1+b1
2017-12-12 06:54:10 status unpacked libglib2.0-0:amd64 2.42.1-1+b1
2017-12-12 06:54:10 install libgomp1:amd64 <none> 4.9.2-10
2017-12-12 06:54:10 status half-installed libgomp1:amd64 4.9.2-10
2017-12-12 06:54:10 status unpacked libgomp1:amd64 4.9.2-10
2017-12-12 06:54:10 status unpacked libgomp1:amd64 4.9.2-10
2017-12-12 06:54:10 install x11-common:all <none> 1:7.7+7
2017-12-12 06:54:10 status half-installed x11-common:all 1:7.7+7
2017-12-12 06:54:10 status triggers-pending systemd:amd64 215-17+deb8u7
2017-12-12 06:54:10 status unpacked x11-common:all 1:7.7+7
2017-12-12 06:54:10 status unpacked x11-common:all 1:7.7+7
2017-12-12 06:54:10 install libice6:amd64 <none> 2:1.0.9-1+b1
2017-12-12 06:54:10 status half-installed libice6:amd64 2:1.0.9-1+b1
2017-12-12 06:54:11 status unpacked libice6:amd64 2:1.0.9-1+b1
2017-12-12 06:54:11 status unpacked libice6:amd64 2:1.0.9-1+b1
2017-12-12 06:54:11 install libicu52:amd64 <none> 52.1-8+deb8u6
2017-12-12 06:54:11 status half-installed libicu52:amd64 52.1-8+deb8u6
2017-12-12 06:54:12 status unpacked libicu52:amd64 52.1-8+deb8u6
2017-12-12 06:54:12 status unpacked libicu52:amd64 52.1-8+deb8u6
2017-12-12 06:54:12 install libitm1:amd64 <none> 4.9.2-10
2017-12-12 06:54:12 status half-installed libitm1:amd64 4.9.2-10
2017-12-12 06:54:12 status unpacked libitm1:amd64 4.9.2-10
2017-12-12 06:54:12 status unpacked libitm1:amd64 4.9.2-10
2017-12-12 06:54:12 install liblsan0:amd64 <none> 4.9.2-10
2017-12-12 06:54:12 status half-installed liblsan0:amd64 4.9.2-10
2017-12-12 06:54:12 status unpacked liblsan0:amd64 4.9.2-10
2017-12-12 06:54:12 status unpacked liblsan0:amd64 4.9.2-10
2017-12-12 06:54:12 install libmpfr4:amd64 <none> 3.1.2-2
2017-12-12 06:54:12 status half-installed libmpfr4:amd64 3.1.2-2
2017-12-12 06:54:12 status unpacked libmpfr4:amd64 3.1.2-2
2017-12-12 06:54:12 status unpacked libmpfr4:amd64 3.1.2-2
2017-12-12 06:54:12 install libquadmath0:amd64 <none> 4.9.2-10
2017-12-12 06:54:12 status half-installed libquadmath0:amd64 4.9.2-10
2017-12-12 06:54:12 status unpacked libquadmath0:amd64 4.9.2-10
2017-12-12 06:54:12 status unpacked libquadmath0:amd64 4.9.2-10
2017-12-12 06:54:12 install libsm6:amd64 <none> 2:1.2.2-1+b1
2017-12-12 06:54:12 status half-installed libsm6:amd64 2:1.2.2-1+b1
2017-12-12 06:54:12 status unpacked libsm6:amd64 2:1.2.2-1+b1
2017-12-12 06:54:12 status unpacked libsm6:amd64 2:1.2.2-1+b1
2017-12-12 06:54:12 install libtcl8.6:amd64 <none> 8.6.2+dfsg-2
2017-12-12 06:54:12 status half-installed libtcl8.6:amd64 8.6.2+dfsg-2
2017-12-12 06:54:12 status unpacked libtcl8.6:amd64 8.6.2+dfsg-2
2017-12-12 06:54:12 status unpacked libtcl8.6:amd64 8.6.2+dfsg-2
2017-12-12 06:54:12 install libxau6:amd64 <none> 1:1.0.8-1
2017-12-12 06:54:12 status half-installed libxau6:amd64 1:1.0.8-1
2017-12-12 06:54:12 status unpacked libxau6:amd64 1:1.0.8-1
2017-12-12 06:54:12 status unpacked libxau6:amd64 1:1.0.8-1
2017-12-12 06:54:12 install libxdmcp6:amd64 <none> 1:1.1.1-1+b1
2017-12-12 06:54:12 status half-installed libxdmcp6:amd64 1:1.1.1-1+b1
2017-12-12 06:54:12 status unpacked libxdmcp6:amd64 1:1.1.1-1+b1
2017-12-12 06:54:12 status unpacked libxdmcp6:amd64 1:1.1.1-1+b1
2017-12-12 06:54:12 install libxcb1:amd64 <none> 1.10-3+b1
2017-12-12 06:54:12 status half-installed libxcb1:amd64 1.10-3+b1
2017-12-12 06:54:12 status unpacked libxcb1:amd64 1.10-3+b1
2017-12-12 06:54:12 status unpacked libxcb1:amd64 1.10-3+b1
2017-12-12 06:54:12 install libx11-data:all <none> 2:1.6.2-3+deb8u1
2017-12-12 06:54:12 status half-installed libx11-data:all 2:1.6.2-3+deb8u1
2017-12-12 06:54:12 status unpacked libx11-data:all 2:1.6.2-3+deb8u1
2017-12-12 06:54:12 status unpacked libx11-data:all 2:1.6.2-3+deb8u1
2017-12-12 06:54:12 install libx11-6:amd64 <none> 2:1.6.2-3+deb8u1
2017-12-12 06:54:12 status half-installed libx11-6:amd64 2:1.6.2-3+deb8u1
2017-12-12 06:54:13 status unpacked libx11-6:amd64 2:1.6.2-3+deb8u1
2017-12-12 06:54:13 status unpacked libx11-6:amd64 2:1.6.2-3+deb8u1
2017-12-12 06:54:13 install libxext6:amd64 <none> 2:1.3.3-1
2017-12-12 06:54:13 status half-installed libxext6:amd64 2:1.3.3-1
2017-12-12 06:54:13 status unpacked libxext6:amd64 2:1.3.3-1
2017-12-12 06:54:13 status unpacked libxext6:amd64 2:1.3.3-1
2017-12-12 06:54:13 install libxrender1:amd64 <none> 1:0.9.8-1+b1
2017-12-12 06:54:13 status half-installed libxrender1:amd64 1:0.9.8-1+b1
2017-12-12 06:54:13 status unpacked libxrender1:amd64 1:0.9.8-1+b1
2017-12-12 06:54:13 status unpacked libxrender1:amd64 1:0.9.8-1+b1
2017-12-12 06:54:13 install libxft2:amd64 <none> 2.3.2-1
2017-12-12 06:54:13 status half-installed libxft2:amd64 2.3.2-1
2017-12-12 06:54:13 status unpacked libxft2:amd64 2.3.2-1
2017-12-12 06:54:13 status unpacked libxft2:amd64 2.3.2-1
2017-12-12 06:54:13 install libxss1:amd64 <none> 1:1.2.2-1
2017-12-12 06:54:13 status half-installed libxss1:amd64 1:1.2.2-1
2017-12-12 06:54:13 status unpacked libxss1:amd64 1:1.2.2-1
2017-12-12 06:54:13 status unpacked libxss1:amd64 1:1.2.2-1
2017-12-12 06:54:13 install libtk8.6:amd64 <none> 8.6.2-1
2017-12-12 06:54:13 status half-installed libtk8.6:amd64 8.6.2-1
2017-12-12 06:54:13 status unpacked libtk8.6:amd64 8.6.2-1
2017-12-12 06:54:13 status unpacked libtk8.6:amd64 8.6.2-1
2017-12-12 06:54:13 install libtsan0:amd64 <none> 4.9.2-10
2017-12-12 06:54:13 status half-installed libtsan0:amd64 4.9.2-10
2017-12-12 06:54:13 status unpacked libtsan0:amd64 4.9.2-10
2017-12-12 06:54:13 status unpacked libtsan0:amd64 4.9.2-10
2017-12-12 06:54:13 install libubsan0:amd64 <none> 4.9.2-10
2017-12-12 06:54:13 status half-installed libubsan0:amd64 4.9.2-10
2017-12-12 06:54:13 status unpacked libubsan0:amd64 4.9.2-10
2017-12-12 06:54:13 status unpacked libubsan0:amd64 4.9.2-10
2017-12-12 06:54:13 install libxt6:amd64 <none> 1:1.1.4-1+b1
2017-12-12 06:54:13 status half-installed libxt6:amd64 1:1.1.4-1+b1
2017-12-12 06:54:13 status unpacked libxt6:amd64 1:1.1.4-1+b1
2017-12-12 06:54:13 status unpacked libxt6:amd64 1:1.1.4-1+b1
2017-12-12 06:54:13 install libmpc3:amd64 <none> 1.0.2-1
2017-12-12 06:54:13 status half-installed libmpc3:amd64 1.0.2-1
2017-12-12 06:54:13 status unpacked libmpc3:amd64 1.0.2-1
2017-12-12 06:54:13 status unpacked libmpc3:amd64 1.0.2-1
2017-12-12 06:54:13 install libpsl0:amd64 <none> 0.5.1-1
2017-12-12 06:54:13 status half-installed libpsl0:amd64 0.5.1-1
2017-12-12 06:54:13 status unpacked libpsl0:amd64 0.5.1-1
2017-12-12 06:54:13 status unpacked libpsl0:amd64 0.5.1-1
2017-12-12 06:54:13 install wget:amd64 <none> 1.16-1+deb8u4
2017-12-12 06:54:13 status half-installed wget:amd64 1.16-1+deb8u4
2017-12-12 06:54:13 status unpacked wget:amd64 1.16-1+deb8u4
2017-12-12 06:54:13 status unpacked wget:amd64 1.16-1+deb8u4
